row_idx,col_idx,log2ratio
26,3,-0.83391584808
26,4,nan
26,5,nan
27,1,nan
27,2,nan
27,3,0.906346958047
27,4,nan
27,5,1.01173613921
28,1,nan
28,2,nan
28,3,0.948502630514
28,4,nan
28,5,nan
29,1,nan
29,2,nan
29,3,-2.17101713207
29,4,nan
29,5,nan
30,1,nan
30,2,nan
30,3,-0.906346958047
30,4,nan
30,5,-1.01173613921
31,1,nan
31,2,nan
31,3,-0.948502630514
31,4,nan
31,5,nan
32,1,nan
32,2,nan
32,3,2.17101713207
32,4,nan
32,5,nan
33,1,-0.827784113903
33,2,-0.98107746833
33,3,0.168622689869
33,4,-0.2
33,5,-1.02137172149
34,1,-0.76752396768
34,2,-0.0586513703893
34,3,-0.714166686505
34,4,-1.07918521516
34,5,-1.73440481008
35,1,0.0465166041018
35,2,-1.58358700051
35,3,-1.86476857032
35,4,-1.5513287468
35,5,-0.385423291129
36,1,-0.814040571782
36,2,-1.0850503522
36,3,-2.14250005951
36,4,-1.4164305949
36,5,0.616677265807
37,1,-1.06988189434
37,2,-1.40763288934
37,3,-2.02347227843
37,4,-3.84459732902
37,5,-1.5031508354
38,1,0.348874530764
38,2,0.263931166752
38,3,0.634814832449
38,4,nan
38,5,0.539592607581
39,1,0.302357926662
39,2,1.05572466701
39,3,0.19837963514
39,4,-0.269796303791
39,5,0.501050278468
40,1,0.883815477935
40,2,0.43988527792
40,3,0.595138905421
40,4,1.07918521516
40,5,0.269796303791
41,1,-0.697749061528
41,2,-3.22582537141
41,3,-1.78541671626
41,4,-1.78740051261
41,5,-4.27819853154
42,1,-0.76752396768
42,2,-0.0586513703893
42,3,-0.872870394617
42,4,0.202347227843
42,5,-1.07918521516
43,1,-0.465166041018
43,2,0.117302740779
43,3,-0.238055562168
43,4,-0.505868069607
43,5,-0.462507949355
44,1,-0.697749061528
44,2,-3.22582537141
44,3,-1.74574078923
44,4,-1.68622689869
44,5,-4.27819853154
45,1,-0.395391134866
45,2,-0.557188018698
45,3,0.039675927028
45,4,-0.269796303791
45,5,-0.154169316452
46,1,0.025
46,2,-0.112415126579
46,3,-0.0535310126569
46,4,nan
46,5,-0.492897093464
47,1,-0.325
47,2,-0.587056772137
47,3,-0.182005443033
47,4,nan
47,5,-0.674490759477
48,1,0.225
48,2,0.312264240498
48,3,0.952852025292
48,4,nan
48,5,0.0
49,1,-0.441907738967
49,2,0.475
49,3,-0.35
49,4,nan
49,5,-0.625
50,1,-0.375
50,2,nan
50,3,-0.0281037816449
50,4,nan
50,5,-0.101173613921
51,1,-0.475
51,2,nan
51,3,-1.03983992086
51,4,-1.5
51,5,-0.586806960745
52,1,-0.025
52,2,nan
52,3,-0.477764287963
52,4,nan
52,5,-0.222581950627
53,1,nan
53,2,nan
53,3,2.47313278475
53,4,nan
53,5,nan
54,1,2.225
54,2,nan
54,3,2.24830253159
54,4,nan
54,5,nan
55,1,nan
55,2,nan
55,3,0.449660506318
55,4,nan
55,5,nan
56,1,0.025
56,2,nan
56,3,0.140518908224
56,4,nan
56,5,nan
57,1,-0.225
57,2,nan
57,3,0.505868069607
57,4,0.4
57,5,0.897072710104
58,1,nan
58,2,nan
58,3,-1.68622689869
58,4,nan
58,5,nan
59,1,-0.949986985178
59,2,0.38221143037
59,3,-0.134898151895
59,4,nan
59,5,-1.04546067719
60,1,0.0379994794071
60,2,0.0224830253159
60,3,-0.314762354422
60,4,-0.627158074601
60,5,nan
61,1,-1.10198490281
61,2,-0.112415126579
61,3,-0.157381177211
61,4,nan
61,5,-0.607041683529
62,1,-2.6599635585
62,2,-2.2707855569
62,3,-2.74292908854
62,4,-2.23646936037
62,5,-0.404694455686
63,1,nan
63,2,-1.75367597464
63,3,nan
63,4,-1.64481079943
63,5,nan
64,1,5.20592867878
64,2,nan
64,3,3.46238589865
64,4,nan
64,5,nan
65,1,0.303995835257
65,2,1.03421916453
65,3,0.0224830253159
65,4,0.31949562291
65,5,0.944287063267
66,1,-0.949986985178
66,2,-0.49462655695
66,3,-0.517109582265
66,4,-0.650824417039
66,5,0.303520841764
67,1,-0.436994013182
67,2,-0.337245379738
67,3,nan
67,4,nan
67,5,-0.0674490759477
68,1,3.60995054368
68,2,nan
68,3,nan
68,4,nan
68,5,2.12464589235
69,1,nan
69,2,0.134898151895
69,3,nan
69,4,nan
69,5,0.0337245379738
70,1,-0.284996095553
70,2,-0.337245379738
70,3,-0.292279329107
70,4,0.248496595597
70,5,-0.202347227843
71,1,0.607991670514
